The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,JUSTDIAL  ,25/01/2017,00000400.00,CE      ,             3266,     1620290760.00
2         ,TATAMOTORS,25/01/2017,00000500.00,CE      ,             2854,     2206188150.00
3         ,SBIN      ,25/01/2017,00000250.00,CE      ,             2768,     2117504400.00
4         ,TATAMOTORS,25/01/2017,00000520.00,CE      ,             2714,     2147926350.00
5         ,ICICIBANK ,25/01/2017,00000260.00,CE      ,             2701,     1792442625.00
6         ,TATASTEEL ,25/01/2017,00000420.00,CE      ,             2596,     2234919500.00
7         ,YESBANK   ,25/01/2017,00001200.00,CE      ,             2272,     1957174555.00
8         ,VEDL      ,25/01/2017,00000230.00,CE      ,             2187,     1807868825.00
9         ,RELIANCE  ,25/01/2017,00001100.00,CE      ,             1957,     1089262525.00
10        ,TATASTEEL ,25/01/2017,00000430.00,CE      ,             1826,     1595702100.00
11        ,YESBANK   ,25/01/2017,00001220.00,CE      ,             1826,     1588935040.00
12        ,JUSTDIAL  ,25/01/2017,00000420.00,CE      ,             1774,      912705120.00
13        ,SBIN      ,25/01/2017,00000260.00,CE      ,             1728,     1359190050.00
14        ,JUSTDIAL  ,25/01/2017,00000380.00,CE      ,             1642,      784464000.00
15        ,ICICIBANK ,25/01/2017,00000250.00,PE      ,             1557,      989516125.00
16        ,JPASSOCIAT,25/01/2017,00000010.00,CE      ,             1545,     1146276000.00
17        ,TATASTEEL ,25/01/2017,00000400.00,PE      ,             1532,     1243761900.00
18        ,MARUTI    ,25/01/2017,00005500.00,PE      ,             1480,     1239844793.00
19        ,PNB       ,25/01/2017,00000120.00,CE      ,             1467,     1265879300.00
20        ,YESBANK   ,25/01/2017,00001240.00,CE      ,             1459,     1283552410.00
The top twenty contracts contributed to around  15% of the total traded volume in Options on individual securities.MARUTI was the most active option contracts on individual securities traded today with 15780 contracts and YESBANK was the next most active options contracts with 15726 contracts being traded.                                                                                                                                                                                                 
