CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTIRC679GS202925-JAN-2017,102.0225,0,0,0,,101.99,-.03,0,0,0,0
FUTIRC679GS202923-FEB-2017,101.9925,0,0,0,,101.9625,-.02,0,0,0,0
FUTIRC679GS202930-MAR-2017,101.9525,0,0,0,,101.9175,-.03,0,0,0,0
FUTIRC679GS202929-JUN-2017,101.8075,0,0,0,,101.775,-.03,0,0,0,0
FUTIRC679GS202928-SEP-2017,101.6525,0,0,0,,101.6175,-.03,0,0,0,0
FUTIRC679GS202928-DEC-2017,101.47,0,0,0,,101.4375,-.03,0,0,0,0
FUTIRC684GS202225-JAN-2017,101.8775,0,0,0,,101.88,0,0,0,0,0
FUTIRC684GS202223-FEB-2017,101.845,0,0,0,,101.8475,0,0,0,0,0
FUTIRC684GS202230-MAR-2017,101.7975,0,0,0,,101.8,0,0,0,0,0
FUTIRC684GS202229-JUN-2017,101.6375,0,0,0,,101.64,0,0,0,0,0
FUTIRC684GS202228-SEP-2017,101.4675,0,0,0,,101.4725,0,0,0,0,0
FUTIRC684GS202228-DEC-2017,101.2675,0,0,0,,101.2725,0,0,0,0,0
FUTIRC697GS202625-JAN-2017,104.105,0,0,0,,104.075,-.02,14312,0,0,0
FUTIRC697GS202623-FEB-2017,104.085,0,0,0,,104.055,-.02,9278,0,0,0
FUTIRC697GS202630-MAR-2017,104.035,0,0,0,,104.0025,-.03,6572,0,0,0
FUTIRC697GS202629-JUN-2017,103.86,0,0,0,,103.83,-.02,2250,0,0,0
FUTIRC697GS202628-SEP-2017,103.7075,0,0,0,,103.6775,-.02,0,0,0,0
FUTIRC697GS202628-DEC-2017,103.4925,0,0,0,,103.4625,-.02,0,0,0,0
FUTIRC759GS202625-JAN-2017,106.9325,106.98,107.02,106.83,106.92,106.92,-.01,105585,36286,36286,7760729825
FUTIRC759GS202623-FEB-2017,106.995,0,0,0,,106.9425,-.04,501,0,0,0
FUTIRC759GS202630-MAR-2017,106.9075,0,0,0,,106.8525,-.05,0,0,0,0
FUTIRC759GS202629-JUN-2017,106.6375,0,0,0,,106.585,-.04,0,0,0,0
FUTIRC759GS202628-SEP-2017,106.3575,0,0,0,,106.305,-.04,0,0,0,0
FUTIRC759GS202628-DEC-2017,106.045,0,0,0,,105.99,-.05,0,0,0,0
FUTIRC759GS202925-JAN-2017,106.61,0,0,0,,106.4925,-.11,0,0,0,0
FUTIRC759GS202923-FEB-2017,106.55,0,0,0,,106.4325,-.11,0,0,0,0
FUTIRC759GS202930-MAR-2017,106.4675,0,0,0,,106.3475,-.11,0,0,0,0
FUTIRC759GS202929-JUN-2017,106.1675,0,0,0,,106.0475,-.11,0,0,0,0
FUTIRC759GS202928-SEP-2017,105.9025,0,0,0,,105.7825,-.11,0,0,0,0
FUTIRC759GS202928-DEC-2017,105.56,0,0,0,,105.4375,-.11,0,0,0,0
FUTIRC761GS203025-JAN-2017,107.5975,0,0,0,,107.6025,0,10200,0,0,0
FUTIRC761GS203023-FEB-2017,107.535,0,0,0,,107.54,0,0,0,0,0
FUTIRC761GS203030-MAR-2017,107.4575,0,0,0,,107.46,0,0,0,0,0
FUTIRC761GS203029-JUN-2017,107.1775,0,0,0,,107.1825,0,0,0,0,0
FUTIRC761GS203028-SEP-2017,106.9125,0,0,0,,106.92,0,0,0,0,0
FUTIRC761GS203028-DEC-2017,106.59,0,0,0,,106.5975,0,0,0,0,0
FUTIRC768GS202325-JAN-2017,106.0875,0,0,0,,106.07,-.01,0,0,0,0
FUTIRC768GS202323-FEB-2017,106.0075,0,0,0,,105.9925,-.01,0,0,0,0
FUTIRC768GS202330-MAR-2017,105.91,0,0,0,,105.8925,-.01,0,0,0,0
FUTIRC768GS202329-JUN-2017,105.6025,0,0,0,,105.585,-.01,0,0,0,0
FUTIRC768GS202328-SEP-2017,105.285,0,0,0,,105.27,-.01,0,0,0,0
FUTIRC768GS202328-DEC-2017,104.935,0,0,0,,104.9175,-.01,0,0,0,0
FUTIRC772GS202525-JAN-2017,106.66,0,0,0,,106.6625,0,0,0,0,0
FUTIRC772GS202523-FEB-2017,106.5825,0,0,0,,106.585,0,0,0,0,0
FUTIRC772GS202530-MAR-2017,106.4875,0,0,0,,106.4875,0,0,0,0,0
FUTIRC788GS203025-JAN-2017,108.5625,108.55,108.745,108.55,108.55,108.59,.02,24465,3026,3026,657334725
FUTIRC788GS203023-FEB-2017,108.5375,0,0,0,,108.52,-.01,6250,0,0,0
FUTIRC788GS203030-MAR-2017,108.4375,0,0,0,,108.4175,-.01,5000,0,0,0
FUTIRC788GS203029-JUN-2017,108.095,0,0,0,,108.0775,-.01,0,0,0,0
FUTIRC788GS203028-SEP-2017,107.79,0,0,0,,107.7725,-.01,0,0,0,0
FUTIRC788GS203028-DEC-2017,107.4025,0,0,0,,107.385,-.01,0,0,0,0
FUTIRT91DTB25-JAN-2017,98.510675,0,0,0,,98.5047,0,0,0,0,0
FUTIRT91DTB22-FEB-2017,98.534925,0,0,0,,98.524925,-.01,0,0,0,0
FUTIRT91DTB29-MAR-2017,98.561175,0,0,0,,98.554325,0,0,0,0,0
FUTIRT91DTB28-JUN-2017,98.621475,0,0,0,,98.619975,0,0,0,0,0
